Power,Theoretical,Simulated
0.002,6.53628789959995,8.146381640715251
0.004,5.091388684083639,6.352557554688334
0.006,4.78554950166476,5.811284580836246
0.008,4.668925647449954,5.223995068061704
number of nodes,Theoretical,Simulated
1,3.5181439497999754,4.870014134928659
2,6.53628789959995,7.578356160276003
3,12.572575799199896,13.840238588815065
4,24.64515159839979,28.151686466651537
5,48.790303196799506,48.3146126468773
0.1,17.267466387777628,18.727168580628582
0.15,12.335858626666555,13.699391540711067
0.2,9.931699843124902,11.161113618756923
0.25,8.548383866133243,10.182559693009386
150,6.53628789959995,7.617809560076492
160,6.262891761671234,7.8175638475018046
170,6.043267164962012,7.431883145106792
180,5.8638333377194165,6.955196472851385
190,5.715106996127016,7.398592752093093
200,5.590289665505835,6.585643031733764
210,5.484395495378469,6.56173334251231
220,5.393694694318473,6.712883117562427
230,5.315347966761352,6.343243680636261
240,5.247160216560601,6.327747962871728
250,5.187410816926204,6.352446827342812
50,4.958923191223729,6.066322773251198
60,5.16745828272816,6.5233507838299065
70,5.422583959037866,6.507522610576176
80,5.7302996785245615,7.024635063470113
90,6.098295947199165,7.155345316963102
95,6.307844833780715,7.978431083829107
100,6.53628789959995,7.594873492012481
0.002,6.53628789959995,8.048308115764716
0.004,5.091388684083639,6.0701182341293825
0.006,4.78554950166476,5.65864921077629
0.008,4.668925647449954,5.471769542912094
